channel_url,channel_name,scrape_at,channel_country,channel_subscriber
/user/bgmchannelbgm,BGM channel,2020-08-07,,
/channel/UCeC8j1vIM8ZhzSNUw641U0A,My Music Playlist,2020-08-07,,
/channel/UCySNyY7ZlIyIeQ0T_8ah4Vg,Stardy -河野玄斗の神授業,2020-08-07,,
/user/chouchipoupou,Juna BGM,2020-08-07,,
/user/laurenking22,Lalau jdpugh,2020-08-07,,
/channel/UCmL7XeKloYPm9Y1XipWvOHA,洋楽がめっちゃ超いい,2020-08-07,,
/channel/UCcybmKe8hGkdiiwGE4mds3g,Music Pod,2020-08-07,,
/channel/UCMnP4c9FcZh7gwnMIBOI5kg,nene1m Sonicx,2020-08-07,,
/channel/UCbTabRcxDeuHaPzWgFH88Nw,GAME LIFE COMPANY [GLCO],2020-08-07,,
/channel/UCJIVHZP8IdY9l1AKXx1BNyA,Beautiful Japanese Songs,2020-08-07,,
/channel/UClYYb61WRUPpHbQXGaYcQfA,Japan Songs,2020-08-07,,
/channel/UCtTQObjVODNPbcx3-7YiUUw,RTG,2020-08-07,,
/channel/UCLJ2UCP_Aw92SHk7-sUHF8w,作業用BGM,2020-08-07,,
/channel/UCSD2ShhH7xUNU_YtLZQf2Xg,作業用BGM 邦楽,2020-08-07,,
/channel/UCunvH2-1iyfjlEVDA8fsBNA,kno Disney Piano Channel,2020-08-07,,
/channel/UC7Meh0c-sF4EFNW9mvlpaNQ,Bmg JP Production.!,2020-08-07,,
/user/warnermusicjapan,Warner Music Japan,2020-08-07,,
/user/Borsch99,Anime Collection,2020-08-07,,
/channel/UCj38T3uxuIBzYvHHpSnC0Rw,Faye D. Pride,2020-08-07,,
/channel/UCkACPWaWppk9lf3xkri7SUg,東京ばなな,2020-08-07,,
/channel/UCCHv0w_CK93veHVma_earRw,Beautiful Jpop,2020-08-07,,
/channel/UCfJqHZgM33eWazhtUmrq60w,作業用BGMまとめ,2020-08-07,,
/channel/UCfqrOAGN8n_pzzS1NWTaMnQ,Marc Jacobs,2020-08-07,,
/channel/UCRj_LZBNdLuLmsBiPFwcn6w,作業用BGM ch,2020-08-07,,
/user/xxxJunaJunaxxx,xxxJunaJunaxxx,2020-08-07,,
/channel/UCgIgesHxhI1fa5nY7XNJ5rQ,Ultimate Music JP,2020-08-07,,
/channel/UC5OASWUONg1eEh5sEDcTgXw,ビーフボス,2020-08-07,,
